"Project Identifier","Group","Identifier","Title","PI","Requester","Lead Analyst","Analyst","Status","Assistance Type","Expertise","Submission Date","COVID-19 Related"
"CCBR-1324","CCBR","1324","bulk RNAseq analysis of mouse leukocytes ... effect of IMPACT","Jonathan Hernandez","Surajit Sinha","Samantha Chill","Vishal Koparde","Primary Analysis Completed","Data Analysis","Bulk RNA-seq;Other","Feb 07, 2024","No"
"CCBR-1323","CCBR","1323","Genome-wide CRISPR knockout screens in kidney cancer lines","William Linehan","Ming-hui Wei","Nathan Wong","--","In Progress","Data Analysis","CRISPR-Seq","Feb 02, 2024","No"
"CCBR-1322","CCBR","1322","RNA seq  and ChIP seq data from GEO","Myriem Boufraqech","Myriem Boufraqech","Samantha Chill","Vishal Koparde","Submitted","Other","Bulk RNA-seq;ChIP-Seq","Feb 01, 2024","No"
"CCBR-1321","CCBR","1321","CS033578 GPC3 AbTCR vs CAR","Mitchell Ho","Dan Li","Jing Bian","Philip Homan","In Progress","Data Analysis;Training","Bulk RNA-seq","Feb 01, 2024","No"
"CCBRDEV-10","CCBRDEV","10","ASPEN","Ccbr Pipeliner","Vishal Koparde","--","--","Submitted","Development;Support","Scientific Application Development;Scientific Computing Support;Python;R;Bash;Snakemake","Jan 25, 2024","No"
"CCBR-1320","CCBR","1320","Msh1/2 KO project","Mark Gilbert","Aiguo Li","Samantha Chill","--","In Progress","Data Analysis;Training","Whole Exome Sequencing","Jan 19, 2024","No"
"CCBR-1319","CCBR","1319","Analysis of published human cancer genomic datasets","Jeffrey Schlom","Sofia Gameiro","Richard Finney","--","Submitted","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq);Data Mining/Management/Integration","Jan 18, 2024","No"
"CCBRDEV-9","CCBRDEV","9","RENEE","Ccbr Pipeliner","None","--","Samantha Chill; Vishal Koparde; Kelly Sovacool","Cancelled","Development","Python;R;Bash;Snakemake","Jan 08, 2024","No"
"CCBRDEV-8","CCBRDEV","8","Setup Zenodo for public CCBR pipelines","Vishal Koparde","Kelly Sovacool","--","--","Submitted","Other","Scientific Computing Support;Other","Dec 29, 2023","No"
"CCBR-1318","CCBR","1318","scRNA / ADT / VDJ Analysis and Differential Gene Expression of CD4 T cells in Pancreatic Cancer Samples","Remy Bosselut","Gerard Hoeltzel","Philip Homan","--","Awaiting Data","Data Analysis;Experimental Design;Training","Immune Repertoire/VDJ/Antibody Sequencing;Single-cell Seq (RNA/ATAC/etc Seq);Other NGS","Dec 20, 2023","No"
"CCBR-1311","CCBR","1311","STAG1/STAG2 mediated 3d genome structure in neuroblastoma","Carol Thiele","Jee Youn Kang","Samantha Chill","Vishal Koparde","Submitted","Data Analysis;Training","Bulk RNA-seq;ChIP-Seq;Other","Dec 14, 2023","No"
"CCBR-1309","CCBR","1309","Studying the effect of ProAgio on the PDAC TME","Christine Alewine","Mayrel Palestino Dominguez","Philip Homan","--","Awaiting Data","Data Analysis;Experimental Design","Immune Repertoire/VDJ/Antibody Sequencing;Single-cell Seq (RNA/ATAC/etc Seq)","Dec 14, 2023","No"
"CCBRDEV-7","CCBRDEV","7","RENEE","Ccbr Pipeliner","None","--","Kelly Sovacool; Vishal Koparde; Samantha Chill","Primary Analysis Completed","Development;Support","Scientific Application Development;Scientific Computing Support;Python;R;Bash;Snakemake;Nextflow","Dec 14, 2023","No"
"CCBR-1317","CCBR","1317","Treatment of murine tumors with CXCR1/2 inhibition plus chemotherapy","Claudia Palena","Claudia Palena","Steven Gierlack","Thomas Meyer","Primary Analysis Completed","Data Analysis;Other","Bulk RNA-seq","Dec 13, 2023","No"
"CCBR-1316","CCBR","1316","Neutral Sphingomyelinase 2 Knockout and Inhibition","Eric Freed","Lindsay Farr","Samarth Mathur","--","Awaiting Data","Data Analysis","Bulk RNA-seq","Dec 01, 2023","No"
"CCBR-1315","CCBR","1315","TCR Expression of thymocytes transduced with mutIL7R-P7 and Rasgrp1: FULL DATA","Scott Durum","Nathan Wong","Nathan Wong","--","Primary Analysis Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Nov 21, 2023","No"
"CCBR-1314","CCBR","1314","Subset ACC TCGA multi-omic datasets by immunophenotypes","Naris Nilubol","Nicholas Michael","Richard Finney","Jing Bian","Submitted","Data Analysis;Development","Bulk RNA-seq;Proteomics;Whole Exome Sequencing;Whole Genome Sequencing","Nov 16, 2023","No"
"CCBR-1313","CCBR","1313","Murine scRNA-seq with paired TCR-seq study using the CT26 colorectal tumor mode","David Goldstein","Parthav Jailwala","Thomas Meyer","Alexei Lobanov; Jing Bian; Philip Homan","On Hold","Data Analysis","Immune Repertoire/VDJ/Antibody Sequencing;Single-cell Seq (RNA/ATAC/etc Seq)","Nov 16, 2023","No"
"CCBR-1312","CCBR","1312","microRNA gene expression analysis in myoblast cell lines","Frederic Barr","Hana Kim","Alexei Lobanov","Thomas Meyer","In Progress","Training","miRNA-Seq","Nov 13, 2023","No"
"CCBR-1310","CCBR","1310","Bulk RNA-Seq Planarian Regeneration time course","Erin Davies","Erin Davies","Vishal Koparde","Clare Booth","Primary Analysis Completed","Data Analysis;Training","Bulk RNA-seq","Nov 07, 2023","No"
"CCBR-1308","CCBR","1308","Analyzing Sinonasal tumors sequences","Nyall London","Samarth Mathur","Samarth Mathur","Darryl Nousome","Primary Analysis Completed","Data Analysis","Whole Exome Sequencing","Nov 01, 2023","No"
"CCBR-1307","CCBR","1307","ATAC seq 2020","Terence Yamaguchi","Sara Thomas","Vishal Koparde","--","On Hold","Data Analysis","ATAC-Seq","Oct 31, 2023","No"
"CCBR-1306","CCBR","1306","10x Visium FFPE","Changqing Xie","Changqing Xie","Jing Bian","--","Primary Analysis Completed","Data Analysis","Spatial transcriptomics","Oct 27, 2023","No"
"CCBR-1305","CCBR","1305","Novel chemotherapy combined with CAR T cell therapy for adrenocortical carcinoma","Hong ha rosa Nguyen","Reona Okada","Samarth Mathur","Darryl Nousome","In Progress","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Oct 19, 2023","No"
"CCBR-1304","CCBR","1304","TCR-immune profile sequencing of mice post-allogeneic transplant","Naomi Taylor","Alessandra De Paula Pohl","Philip Homan","--","In Progress","Data Analysis","Immune Repertoire/VDJ/Antibody Sequencing","Oct 18, 2023","No"
"CCBRDEV-6","CCBRDEV","6","SINCLAIR","Ccbr Pipeliner","Vishal Koparde","Samantha Chill","Nathan Wong; Kelly Sovacool; Vishal Koparde","Submitted","Development;Support;Research","Python;R;Bash;Nextflow","Oct 12, 2023","No"
"CCBR-1303","CCBR","1303","Single cell RNA-Seq (scRNASeq) and single cell ATAC-Seq (scATACSeq) of KPC and KP16 tumors treated with the novel innate checkpoint modulator NCGC72","Udo Rudloff","Nathan Wong","Nathan Wong","--","Primary Analysis Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 11, 2023","No"
"CCBRDEV-5","CCBRDEV","5","CRUISE","Ccbr Pipeliner","Vishal Koparde","Kelly Sovacool","Nathan Wong","In Progress","Development;Support;Research","Scientific Application Development;Python;Nextflow","Oct 10, 2023","No"
"CCBRDEV-4","CCBRDEV","4","spacesavers2","Ccbr Pipeliner","Vishal Koparde","Kelly Sovacool","--","In Progress","Development;Support","Scientific Application Development;Python;R;Other","Oct 10, 2023","No"
"CCBRDEV-3","CCBRDEV","3","reneeTools","Ccbr Pipeliner","Vishal Koparde","Kelly Sovacool","--","In Progress","Development;Support","R;Other","Oct 10, 2023","No"
"CCBR-1302","CCBR","1302","Olaparib treated breast cancer RNA-seq","Myriem Boufraqech","Myriem Boufraqech","Thomas Meyer","Richard Finney; Thomas French","Completed","Data Analysis","Bulk RNA-seq","Oct 04, 2023","No"
"CCBR-1301","CCBR","1301","Identification of genes of resistance to BRAFV600E inhibitor using a focused CRISPR KO and Act libraries","Myriem Boufraqech","Myriem Boufraqech","Samantha Chill","Nathan Wong; Thomas Meyer","Primary Analysis Completed","Data Analysis","Other NGS","Oct 02, 2023","No"
"CCBR-1300","CCBR","1300","A Knock-In Mouse Model of Thymoma With the GTF2I L424H Mutation","David Goldstein","Parthav Jailwala","Jing Bian","--","Completed","Data Analysis","Other NGS","Sep 27, 2023","No"
"CCBR-1299","CCBR","1299","Exploring the genome-wide splicing patterns in experimental RNA-seq samples from cell lines treated with splicing inhibitor and cisplatin","Abdul Banday","Abdul Banday","Darryl Nousome","Samarth Mathur","In Progress","Data Analysis","Bulk RNA-seq","Sep 27, 2023","No"
"CCBR-1298","CCBR","1298","Loss of Trp53 potentiates PI3K signaling to drive de-differentiation and aggressiveness of anaplastic thyroid cancer","Sheue-yann Cheng","Sheue-yann Cheng","--","--","Cancelled","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Sep 26, 2023","No"
"CCBR-1297","CCBR","1297","Loss of Trp53 potentiates PI3K signaling to drive de-differentiation and aggressiveness of anaplastic thyroid cancer","Sheue-yann Cheng","Sheue-yann Cheng","Nathan Wong","--","Data Received","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Sep 26, 2023","No"
"CCBR-1296","CCBR","1296","Coronavirus total RNA-seq","Zhi ming Zheng","Vladimir Majerciak","Alexei Lobanov","Samantha Chill","Primary Analysis Completed","Training","Bulk RNA-seq","Sep 22, 2023","No"
"CCBR-1295","CCBR","1295","Influence of radiation on microRNA binding to Argonaute2","Philip Tofilon","Philip Tofilon","--","--","Cancelled","Data Analysis","miRNA-Seq","Sep 20, 2023","No"
"CCBR-1293","CCBR","1293","NIDAP Development Fundamentals","David Goldstein","Steven Gierlack","--","--","Cancelled","Training","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq)","Sep 11, 2023","No"
"CCBR-1292","CCBR","1292","CRISPR-Cas9 knockout screening in adrenocortical cancer cells to identify genes involved in radiation sensitivity and resistance","Naris Nilubol","Bhavishya Ramamoorthy","Thomas Meyer","Richard Finney","Completed","Data Analysis","Bulk RNA-seq;Proteomics","Sep 08, 2023","No"
"CCBR-1291","CCBR","1291","SnoRNA expression in pancreatic cancer","Shalini Oberdoerffer","Maria Farooq","Darryl Nousome","--","Completed","Data Analysis","Bulk RNA-seq","Sep 07, 2023","No"
"CCBR-1290","CCBR","1290","MicroRNA profile in urine and tumor from patients with RCC with VHL genes alterations.","Maria Merino-neumann","Beatriz Walter Rodriguez","Alexei Lobanov","--","Completed","Data Analysis","miRNA-Seq","Sep 06, 2023","No"
"CCBR-1289","CCBR","1289","CS034536","Jeffrey Schlom","Lisa Poppe","Thomas Meyer","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Aug 29, 2023","No"
"CCBR-1325","CCBR","1325","CHARLIE development (HPC-agnostic)","Joseph Ziegelbauer","Sarah Dremel","Vishal Koparde","Kelly Sovacool","In Progress","Development","None","Aug 24, 2023","No"
"CCBR-1288","CCBR","1288","Genome wide localization of CENP-A by CUT and RUN","Munira Basrai","Munira Basrai","Samantha Chill","Vishal Koparde","Completed","Data Analysis","Other","Aug 17, 2023","No"
"CCBR-1287","CCBR","1287","WDR44 KO mouse genome sequencing","Christopher Westlake","Christopher Westlake","Darryl Nousome","--","Completed","Data Analysis","Whole Genome Sequencing","Aug 09, 2023","No"
"CCBR-1286","CCBR","1286","The transcriptional analysis compares GPC-3 knockout HepG2 and Hep3B cells to the wildtype liver cancer cells.","Freddy Escorcia","Joon-yong Chung","Philip Homan","--","Queued","Data Analysis","Bulk RNA-seq","Aug 07, 2023","No"
"CCBRDEV-1","CCBRDEV","1","CHAMPANGE","Ccbr Pipeliner","Vishal Koparde","Kelly Sovacool","--","In Progress","Development","None","Aug 04, 2023","No"
"CCBR-1284","CCBR","1284","p53 functions in thyroid cancer by scRNA-seq","Sheue-yann Cheng","Sheue-yann Cheng","Nathan Wong","--","Primary Analysis Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Aug 01, 2023","No"
"CCBR-1282","CCBR","1282","Clonal Hematopoiesis in Patients with Chronic Graft Versus Host Disease","Steven Pavletic","Eduard Schulz","Darryl Nousome","Samarth Mathur","In Progress","Data Analysis;Experimental Design;Training","Whole Genome Sequencing","Jul 11, 2023","No"
"CCBR-1281","CCBR","1281","Analysis of circulating nucleic acids in patients treated with TCR-T cell therapy","Scott Norberg","Scott Norberg","Samarth Mathur","Darryl Nousome","In Progress","Data Analysis;Development;Experimental Design","Bulk RNA-seq;Whole Exome Sequencing;Whole Genome Sequencing;Other NGS","Jul 07, 2023","No"
"CCBR-1280","CCBR","1280","Leptomeningeal metastasis of breast cancer","Patricia Steeg","Dinesh Kumar","Alexei Lobanov","--","Submitted","Data Analysis;Experimental Design","Bulk RNA-seq","Jun 28, 2023","No"
"CCBR-1279","CCBR","1279","scRNA seq of PBMC","Stefan Ambs","Md shakir Ahmed","Abdalla Abdelmaksoud","--","In Progress","Data Analysis;Other","Single-cell Seq (RNA/ATAC/etc Seq)","Jun 22, 2023","No"
"CCBR-1278","CCBR","1278","RNAseq Bulk mouse tumor","John Schiller","Nicolas Cuburu","Philip Homan","--","In Progress","Data Analysis;Experimental Design;Training","Bulk RNA-seq;Immune Repertoire/VDJ/Antibody Sequencing","Jun 14, 2023","No"
"CCBR-1277","CCBR","1277","Hepatic lipids across space and metabolic states","Natalie Porat-shliom","Natalie Porat-shliom","Alexei Lobanov","--","In Progress","Data Analysis","Other","Jun 09, 2023","No"
"CCBR-1275","CCBR","1275","CM59","Jeffrey Schlom","Sofia Gameiro","Alexei Lobanov","Jing Bian; Thomas Meyer","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jun 08, 2023","No"
"CCBR-1274","CCBR","1274","Mapping functional microRNA target sites in vivo by RNA editing","Shuo Gu","Karrie Spain","Samarth Mathur","--","In Progress","Data Analysis","Bulk RNA-seq;Whole Genome Sequencing","Jun 07, 2023","No"
"CCBR-1272","CCBR","1272","Neuroimmune Interactions of Cancer","Tim Greten","None","Philip Homan","--","Completed","Data Analysis","Metagenomics;Single-cell Seq (RNA/ATAC/etc Seq)","May 25, 2023","No"
"CCBR-1271","CCBR","1271","EV RNAseq: Identification of RNAs, including retroviral elements, enriched in extracellular vesicles (EVs) and EV subsets","Jennifer Jones","Jennifer Jones","Samarth Mathur","Vishal Koparde","In Progress","Data Analysis;Development;Other","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq)","May 24, 2023","No"
"CCBR-1276","CCBR","1276","Disparities in liver cancer from a genomics perspective","Maria Monge Bonilla","Maria Monge Bonilla","Richard Finney","--","Completed","Data Analysis;Development","Data Mining/Management/Integration","May 14, 2023","No"
"CCBR-1270","CCBR","1270","1024","Jay Berzofsky","Yongjun Sui","Philip Homan","--","In Progress","Data Analysis","Bulk RNA-seq","May 11, 2023","No"
"CCBR-1269","CCBR","1269","Mutational Signature Analysis of Single Cell Bladder Cancer","Abdul Banday","Darryl Nousome","Darryl Nousome","Samarth Mathur","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq);Whole Exome Sequencing;Whole Genome Sequencing;Other","May 08, 2023","No"
"CCBR-1268","CCBR","1268","RMC CRISPRseq","William Linehan","Keith Lawson","Nathan Wong","--","Completed","Data Analysis","CRISPR-Seq","Apr 27, 2023","No"
"CCBR-1267","CCBR","1267","THCA-TCGA","Kevin Camphausen","Myriem Boufraqech","Richard Finney","Thomas Meyer","In Progress","Other","Bulk RNA-seq","Apr 21, 2023","No"
"CCBR-1266","CCBR","1266","Drosha regulates IGF2 by miRNA independent manner","Shuo Gu","Chunmei Shi","Samantha Chill","Vishal Koparde","Primary Analysis Completed","Data Analysis","ATAC-Seq;Methylation Sequencing/Array;Other","Apr 19, 2023","No"
"CCBR-1265","CCBR","1265","scRNA-Seq of the brain-tumor barrier in the breast cancer brain metastases","Patricia Steeg","Wei Zhang","--","--","Cancelled","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Apr 19, 2023","No"
"CCBR-1264","CCBR","1264","scRNA-Seq of the brain-tumor barrier in the breast cancer brain metastases","Patricia Steeg","Wei Zhang","Philip Homan","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Apr 19, 2023","No"
"CCBR-1263","CCBR","1263","Exome-seq data analysis of bladder cancer patients","Abdul Banday","Abdul Banday","Samarth Mathur","Samarth Mathur","In Progress","Data Analysis","Whole Exome Sequencing;Whole Genome Sequencing","Apr 14, 2023","No"
"CCBR-1262","CCBR","1262","Genomewide CRISPR/Cas9 screening for cancer stemness maintenance in cholangiocarcinoma","Changqing Xie","Changqing Xie","Nathan Wong","--","Completed","Data Analysis","Other NGS","Mar 30, 2023","No"
"CCBR-1261","CCBR","1261","SH5Y RNA-Seq","Jordan Meier","Jordan Meier","Thomas Meyer","Philip Homan","Primary Analysis Completed","Data Analysis","Bulk RNA-seq","Mar 28, 2023","No"
"CCBR-1273","CCBR","1273","Fluctuation of SLFN11","Yves Pommier","Daiki Taniyama","Alexei Lobanov","Nathan Wong","Completed","Data Analysis;Experimental Design","Single-cell Seq (RNA/ATAC/etc Seq)","Mar 27, 2023","No"
"CCBR-1260","CCBR","1260","TCGA Analysis Of NeoTCR Signatures","Naris Nilubol","Kyle Hitscherich","Darryl Nousome","Samarth Mathur","Completed","Data Analysis;Development;Other","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq);Data Mining/Management/Integration","Mar 22, 2023","No"
"CCBR-1259","CCBR","1259","RNA seq comparing FHVH33 and Luc90","James Kochenderfer","Katherine Weissler","Richard Finney","--","In Progress","Data Analysis","Bulk RNA-seq","Mar 15, 2023","No"
"CCBR-1258","CCBR","1258","TART in CAH","William Figg","Tristan Sissung","Samarth Mathur","Samarth Mathur","Completed","Data Analysis","Other","Mar 15, 2023","No"
"CCBR-1257","CCBR","1257","RNAseq of anti-BCMA CAR T cells versus anti-SLAMF7 CAR T cells","James Kochenderfer","James Kochenderfer","Richard Finney","--","Submitted","Data Analysis","Bulk RNA-seq","Mar 14, 2023","No"
"CCBR-1256","CCBR","1256","Antigen specific T cells tethered IL-12 mediate tumor control on antigen negative variants","James Gulley","Ling Zhang","Philip Homan","Jing Bian","Primary Analysis Completed","Data Analysis;Experimental Design","Single-cell Seq (RNA/ATAC/etc Seq)","Mar 09, 2023","No"
"CCBR-1255","CCBR","1255","RUNX1","Sung-yun Pai","Emma Tonetti","Alexei Lobanov","Thomas Meyer","Completed","Data Analysis;Experimental Design","Bulk RNA-seq;miRNA-Seq","Mar 07, 2023","No"
"CCBR-1254","CCBR","1254","CRISPR functional sequencing of myeloid cells","Rosandra Kaplan","Rosandra Kaplan","Nathan Wong","--","Completed","Data Analysis;Development;Training","Other","Mar 01, 2023","No"
"CCBR-1253","CCBR","1253","spatial transcriptomics of metastatic niche","Rosandra Kaplan","Rosandra Kaplan","Alexei Lobanov","--","On Hold","Data Analysis;Development;Training","Single-cell Seq (RNA/ATAC/etc Seq);Data Mining/Management/Integration;Spatial transcriptomics","Mar 01, 2023","No"
"CCBR-1252","CCBR","1252","16-c-0135","Tim Greten","Tim Greten","Richard Finney","--","In Progress","Data Analysis","Bulk RNA-seq","Feb 07, 2023","No"
"CCBR-1251","CCBR","1251","Chip-seq analysis","Nitin Roper","Nitin Roper","Samantha Chill","Vishal Koparde","Primary Analysis Completed","Data Analysis","ChIP-Seq","Feb 02, 2023","No"
"CCBR-1250","CCBR","1250","SMYD3 as oncogene (no IFNb exposure)","Vassiliki Saloura","Samantha Chill","Samantha Chill","--","Completed","Data Analysis","Bulk RNA-seq;Other NGS","Feb 01, 2023","No"
"CCBR-1249","CCBR","1249","SMYD3 as an immunomodulator","Vassiliki Saloura","Samantha Chill","Samantha Chill","--","Completed","Data Analysis","Bulk RNA-seq;Other NGS","Feb 01, 2023","No"
"CCBR-1248","CCBR","1248","Mouse Smyd3 CUT&RUN assays","Vassiliki Saloura","Samantha Chill","Samantha Chill","--","Completed","Data Analysis","Bulk RNA-seq;Other NGS","Feb 01, 2023","No"
"CCBR-1247","CCBR","1247","Bulk RNA seq of different NALM-6 tumor cell lines","Naomi Taylor","Alka Dwivedi","--","--","Cancelled","Data Analysis","Bulk RNA-seq","Jan 30, 2023","No"
"CCBR-1246","CCBR","1246","Evaluation of NK cell exhaustion","Scott Durum","Julie Hixon","Nathan Wong","--","On Hold","Data Analysis;Experimental Design","Single-cell Seq (RNA/ATAC/etc Seq)","Jan 25, 2023","No"
"CCBR-1245","CCBR","1245","Nanostring project of archived KS samples","Robert Yarchoan","Ramya Ramaswami","Edmund Cauley","--","In Progress","Data Analysis","Bulk RNA-seq;Other","Jan 04, 2023","No"
"CCBR-1244","CCBR","1244","Tada-Nivo_Vanco trial","Tim Greten","Chi Ma","Edmund Cauley","Thomas Meyer","On Hold","Data Analysis","Bulk RNA-seq","Jan 03, 2023","No"
"CCBR-1243","CCBR","1243","Methylation profiling of normal vs RRP","Clint Allen","Clint Allen","Abdalla Abdelmaksoud","Nathan Wong","Completed","Data Analysis","Methylation Sequencing/Array","Dec 30, 2022","No"
"CCBR-1242","CCBR","1242","Establishment and characterization of sinonasal patient derived organoid models.","Nyall London","Sreenivasulu Gunti","Samarth Mathur","--","Completed","Data Analysis;Training","Bulk RNA-seq;Whole Exome Sequencing","Dec 12, 2022","No"
"CCBR-1241","CCBR","1241","Phospho-proteomic analysis of HUWE1-dependent WNT signaling","Andres Lebensohn","Andres Lebensohn","Alexei Lobanov","--","Completed","Data Analysis","Proteomics","Dec 12, 2022","No"
"CCBR-1240","CCBR","1240","Alterations in transcription via NO-mediated alterations in methylation","Daniel Mcvicar","Daniel Mcvicar","--","--","Re Assigned","Data Analysis","Bulk RNA-seq;Methylation Sequencing/Array","Dec 07, 2022","No"
"CCBR-1239","CCBR","1239","Effect of CD47 blocking agents using CD34+ stem cells","David Roberts","Sukhbir Kaur","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Dec 06, 2022","No"
"CCBR-1238","CCBR","1238","GCN1-ATF4 KD Analysis","Jonathan Hernandez","Surajit Sinha","Samantha Chill","Vishal Koparde","Primary Analysis Completed","Data Analysis","Bulk RNA-seq","Nov 29, 2022","No"
"CCBR-1237","CCBR","1237","AITL cell line WGS pipeline analysis","Samuel Ng","Samuel Ng","Darryl Nousome","--","Completed","Data Analysis","Whole Genome Sequencing","Nov 27, 2022","No"
"CCBR-1236","CCBR","1236","KSHV ORF57KO in iSLK/Bac16 cells","Zhi ming Zheng","Vladimir Majerciak","Alexei Lobanov","--","Primary Analysis Completed","Data Analysis","Bulk RNA-seq","Nov 21, 2022","No"
"CCBR-1235","CCBR","1235","UOB Pedigree Analysis on NIDAP","William Linehan","Thomas Meyer","Thomas Meyer","Darryl Nousome","On Hold","Data Analysis;Development;Training;Other","Data Mining/Management/Integration","Nov 18, 2022","No"
"CCBR-1234","CCBR","1234","Analysis of ssRNA-seq data of mTECs","Jonathan Ashwell","Jonathan Ashwell","Jing Bian","Alexei Lobanov","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq);Data Mining/Management/Integration","Nov 10, 2022","No"
"CCBR-1233","CCBR","1233","TCRvsCAR_Ishii","Kazusa Ishii","Kazusa Ishii","Thomas Meyer","--","Completed","Data Analysis;Experimental Design;Training","Bulk RNA-seq","Nov 02, 2022","No"
"CCBR-1231","CCBR","1231","SMYD3 as an immunomodulator in HPV-negative HNSCC","Vassiliki Saloura","Vassiliki Saloura","Samantha Chill","Vishal Koparde","In Progress","Data Analysis","ATAC-Seq","Nov 02, 2022","No"
"CCBR-1232","CCBR","1232","SMYD3 as an immunomodulator in HPV-negative HNSCC","Vassiliki Saloura","Vassiliki Saloura","--","--","Cancelled","Data Analysis","None","Nov 01, 2022","No"
"CCBR-1230","CCBR","1230","SMYD3 as an immunomodulator in HPV-negative HNSCC","Vassiliki Saloura","Vassiliki Saloura","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Methylation Sequencing/Array","Nov 01, 2022","No"
"CCBR-1229","CCBR","1229","Analysis of single-nuclear RNA-seq data set to identify differences in immune microenvironment among three bladder cancer patient groups","Abdul Banday","Abdul Banday","Philip Homan","Jing Bian; Richard Finney; Darryl Nousome","Primary Analysis Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq);Whole Exome Sequencing","Oct 28, 2022","No"
"CCBR-1228","CCBR","1228","Prexasertib in platinum-resistant HGSOC (NAS: CS031380)","Jung-min Lee","Elena Giudice","Darryl Nousome","--","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Oct 25, 2022","No"
"CCBR-1227","CCBR","1227","anti-BCMA CAR single cell RNAseq","James Kochenderfer","James Kochenderfer","Nathan Wong","Vishal Koparde","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 24, 2022","No"
"CCBR-1226","CCBR","1226","Integrated multi-omic profiling of the metastatic osteosarcoma microenvironment","Troy Mceachron","Troy Mceachron","Nathan Wong","Abdalla Abdelmaksoud","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq);Other","Oct 18, 2022","No"
